Основной ОКВЭД,Кол-во дополнительных ОКВЭДОВ,Нормализованно Кол-во сотрудников,Система налогообложения,Отношение оборотов,"Нормализованно Доходы (тыс, руб.)",ЗСК,Мошенники,Сервисы регистраторы,Вся негативная информация,Нормализованно Налоговая нагрузка,Оценка надежности,Нормализованно Возможная сумма при 3%,score,result
505,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.46,0.5085863006773242,-0.734742321302172,1
797,0.0,0.0,1,0.0,0.0,0.0,0.0302203891579037,0.0605748136275152,1,0.8626996502812897,0.12,0.5085863006773242,-0.9037471869392517,1
317,0.5,0.0,1,0.0,0.0,0.0,0.532492414638035,0.9930650146840664,0,0.7667309303219169,0.2,0.5063978698806405,0.3841607470557038,1
509,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.23,0.5085863006773242,-0.2505317949863825,1
503,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,0,0.7667309303219169,0.02,0.0,3.4490889840410954,0
836,0.5,0.0,1,0.0,0.0,0.0,0.152723563844695,0.1614211556933834,0,0.8626996502812897,0.56,0.5085863006773242,-1.700221379831189,1
283,0.5,0.0,1,0.8333333333333334,0.0,0.0,0.0258576430422141,0.0712033070087416,0,0.7667309303219169,0.13,0.5004084686532692,-0.7067868201459439,1
633,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.32,0.4903996406455188,-0.22277881497466465,1
340,0.5,0.0,1,0.0,0.0,2.0,0.0,0.0,0,0.7667309303219169,0.06,0.0,3.4701416156200424,0
654,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.1,0.5374883466363704,-0.0927588645502417,1
503,0.5,0.0,0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.01,0.0,4.610526315789473,0
484,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,0,0.7667309303219169,0.28,0.5314989053611596,2.7059051768027738,0
503,0.5,0.0,0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.2,0.5260553684374635,4.016716443207249,0
302,0.5,0.08322400828304662,1,0.16666666666666666,0.5020168144146996,1.0,0.0,0.0,1,0.7667309303219169,0.84,0.6128306374178407,-0.4687449638733596,1
611,0.5,0.0,1,1.0,0.0,0.0,0.0385929493254783,0.5800723330706583,0,0.0,0.4,0.5004084686532692,-0.2699765069815869,1
283,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,1,0.7667309303219169,0.1,0.5004084686532692,3.3068332324319964,0
548,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.14,0.5085863006773242,-0.06105811077585628,1
340,0.5,0.0,1,0.0,0.0,1.0,0.936209588044693,0.9636330455100698,0,0.7667309303219169,0.02,0.0,3.4489233351513717,0
611,0.5,0.0,1,0.0,0.0,0.0,0.792682137479403,0.1055015745780799,0,0.9344910767047938,0.03,0.0,0.17993491968956424,1
892,0.0,0.0,0,1.0,0.290699015773103,0.0,0.0,0.0,0,0.0,0.02,0.0,0.15128462493764078,1
946,0.5,0.0,1,0.8333333333333334,0.0,0.0,0.674923091684478,0.0254805360106403,0,0.7667309303219169,0.23,0.5004084686532692,-0.28221558052050977,1
788,0.5,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.8626996502812897,0.33,0.5342332469686681,-1.5561383806101876,1
793,0.5,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.8626996502812897,0.21,0.5004084686532692,-1.29104504123083,1
307,0.5,0.0,1,0.0,0.0,0.0,0.528806443656317,0.9930650146840664,1,0.8626996502812897,0.09,0.0,0.9584438244207771,0
763,0.5,0.0,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.5063978698806405,-0.5023571099560253,1
332,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.0,0.31578947368421045,1
637,0.5,0.1319069322883358,0,1.0,0.650751719489882,2.0,0.0,0.0,0,0.0,0.89,0.7459193647084404,2.1813117348404476,0
120,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.09,0.0,0.12631578947368416,1
708,0.5,0.0,1,0.01,0.0,0.0,0.619177555391113,0.0144964561617733,0,0.9344910767047938,0.54,0.5085863006773242,-1.3563965600384988,1
611,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.0,0.31578947368421045,1
633,0.0,0.0,1,0.16666666666666666,0.0,1.0,0.277469064783417,0.94080954373741,1,0.8626996502812897,0.05,0.0,2.7757145088212436,0
613,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.47,0.4903996406455188,-0.7490946044483486,1
304,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,1,0.0,0.58,0.5004084686532692,1.2261653010224796,0
484,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,0,0.7667309303219169,0.92,0.6780454983848119,1.304545905688797,0
797,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.22,0.5085863006773242,-0.334742321302172,1
302,0.5,0.0,1,0.0,0.0,1.0,0.528806443656317,0.9930650146840664,1,0.7667309303219169,0.01,0.0,3.282637887557289,0
542,0.5,0.0,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.58,0.5085863006773242,-1.3031633739337505,1
768,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.48,0.5260553684374635,-0.8885467146874861,1
293,0.5,0.0,0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.07,0.0,2.3789473684210516,0
828,0.5,0.0,1,0.0,0.0,0.0,0.528806443656317,0.9930650146840664,0,0.7667309303219169,0.4,0.5004084686532692,-0.03856523247286226,1
302,0.0,0.16644801656609323,0,1.0,0.5010704555654537,0.0,0.0,0.0,1,0.0,0.83,0.6119837627818823,-1.6925390552769037,1
600,0.0,0.0,1,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.7667309303219169,0.72,0.5085863006773242,-2.3698638635768647,1
800,1.0,0.1319069322883358,1,0.03333333333333333,0.443912754669955,0.0,0.0,0.0,1,0.8626996502812897,0.84,0.6073307126327687,-2.5451179609344865,1
768,0.0,0.0,1,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.7667309303219169,0.21,0.5085863006773242,-1.296179653050549,1
187,0.0,0.08322400828304662,0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.07,0.0,2.256163366677253,0
283,0.0,0.0,0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.4,0.5260553684374635,3.490400653733565,0
503,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.09,0.0,0.12631578947368416,1
828,0.0,0.0,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.7667309303219169,0.34,0.5085863006773242,-1.3593375477873912,1
716,0.5,0.08322400828304662,1,0.0,0.4188297199450977,0.0,0.0,0.0,0,0.7667309303219169,0.79,0.548396063644552,-2.6731376600749464,1
302,0.0,0.0,0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.25,0.5288596646837346,3.805156965642833,0
903,0.5,0.0,1,1.0,0.0,0.0,0.0,0.0,1,0.0,0.2,0.5063978698806405,-0.29183079416655167,1
338,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.7667309303219169,0.06,0.0,-0.6351215422746928,1
567,0.5,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.7667309303219169,0.07,0.0,-0.7614373317483771,1
340,0.5,0.0,1,0.0,0.0,0.0,0.552532199304056,0.9626909933106907,0,0.7667309303219169,0.02,0.0,0.9387976078460928,0
613,0.5,0.0,1,0.16666666666666666,0.0,0.0,0.660741555357232,0.1976839623348598,0,0.7667309303219169,0.1,0.5085863006773242,-0.05573173969045282,1
581,0.5,0.0,0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.02,0.0,2.4842105263157888,0
283,0.5,0.08322400828304662,0,1.0,0.0,2.0,0.0,0.0,1,0.0,0.03,0.0,4.76142652457199,0
503,0.0,0.0,1,0.16666666666666666,0.0,2.0,0.528806443656317,0.9930650146840664,1,0.8626996502812897,0.61,0.5288596646837346,3.8267586848004536,0
637,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.15,0.5004084686532692,0.13142845891721672,1
306,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.06,0.0,0.2947368421052631,1
789,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.01,0.0,0.294736842105263,1
623,0.5,0.0,1,0.16666666666666666,0.0,1.0,0.0,0.0,0,0.7667309303219169,0.11,0.4903996406455188,1.1315733269611683,0
611,0.5,0.0,1,0.0,0.0,1.0,0.0692934923321219,0.3234335548459713,0,0.7667309303219169,0.5,0.5004084686532692,0.6675985452510429,0
659,0.5,0.0,1,0.0,0.0,0.0,0.458500064141934,0.926795176204596,0,0.7667309303219169,0.02,0.0,0.8020313423006015,0
789,0.5,0.0,1,0.0,0.0,1.0,0.049229307224806,0.2526810548958352,0,0.7667309303219169,0.64,0.5004084686532692,0.27726519255898796,1
633,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.84,0.5085863006773242,-1.6400054791969083,1
304,0.5,0.0,1,0.0,0.0,2.0,0.528806443656317,0.9930650146840664,1,0.7667309303219169,0.07,0.0,5.261585255978341,0
893,0.5,0.08322400828304662,1,1.0,0.0,0.0,0.0,0.0,1,0.0,0.45,0.5267445618496781,-0.8431635771621014,1
668,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.09,0.0,0.23157894736842102,1
611,0.0,0.24967202484913986,0,1.0,0.5281608390042685,0.0,0.0,0.0,0,0.0,0.86,0.6544118207733985,-2.0107819766760255,1
659,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.55,0.5085863006773242,-1.029479163407435,1
283,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0,0.7667309303219169,0.08,0.0,1.217510036672675,0
283,0.0,0.0,1,0.16666666666666666,0.0,2.0,0.337597543947365,0.9696926812532796,0,0.7667309303219169,0.08,0.0,4.751499747410195,0
707,0.5,0.0,1,1.0,0.0,0.0,0.0,0.0,1,0.0,0.1,0.5085863006773242,-0.0821107423548036,1
946,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.13,0.5085863006773242,-0.0400054791969089,1
980,0.5,0.0,1,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.7667309303219169,0.06,0.0,-0.6877531212220612,1
489,0.5,0.0,0,1.0,0.0,2.0,0.0,0.0,1,0.0,0.06,0.0,4.715789473684209,0
503,0.0,0.0,1,0.0,0.0,1.0,0.499943683114367,0.9834944376573678,0,0.7667309303219169,0.05,0.0,2.8421817427481844,0
634,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.08,0.0,0.1473684210526315,1
785,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.532762486529333,-0.4068072318792278,1
637,0.5,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.7667309303219169,0.07,0.0,-0.7614373317483771,1
116,0.5,0.0,1,0.0,0.0,1.0,0.556257651539852,0.9792320399821955,0,0.7667309303219169,0.04,0.0,3.023288659327461,0
770,0.5,0.08322400828304662,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.01,0.0,0.3824791561509374,1
509,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.13,0.5085863006773242,-0.0400054791969089,1
503,0.0,0.0,1,0.0,0.0,1.0,0.577323304097232,0.9648113231600618,1,0.7667309303219169,0.01,0.0,3.198704381154036,0
668,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.37,0.5342332469686681,-0.6599806699358248,1
723,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.07,0.0,0.2736842105263157,1
317,0.5,0.08322400828304662,1,0.0,0.394728709573648,1.0,0.0,0.0,0,0.8626996502812897,0.3,0.516815294091446,0.4349774067802951,1
707,0.5,0.1319069322883358,1,0.0,0.3991253922100349,0.0,0.0,0.0,0,0.7667309303219169,0.12,0.5583701745019471,-1.2682384942929692,1
